id,name,alt_name,what_it_does,how_it_works,alt_tag_1,alt_tag_2,vendor_count,proper_name,last_checked
1,mk-677,,"MK-677, also known as Ibutamoren, is a research chemical that is known to increase levels of growth hormone and insulin-like growth factor 1 (IGF-1) in the body. It is primarily used in research settings to explore potential treatments for growth hormone deficiencies and muscle wasting conditions. Off-label, it is sometimes used by bodybuilders and athletes who seek muscle growth and enhanced recovery, although it is not approved for these uses.","MK-677 functions by mimicking the action of ghrelin, which is a hormone that stimulates hunger and is involved in regulating energy balance. It binds to ghrelin receptors in the brain, promoting the release of growth hormone from the pituitary gland, thereby increasing growth hormone and IGF-1 levels in the body. This mechanism leads to its effects on muscle growth and metabolism, which researchers are studying for potential therapeutic applications.",SARM,Secreteagouges,1,MK-677,
2,rad-140,,"RAD-140, also known as Testolone, is a selective androgen receptor modulator (SARM) that is currently being investigated for its potential to improve muscle mass and bone health. It is not yet approved for any indication, but some people use it off-label to try to enhance athletic performance or increase muscle growth.","RAD-140 works by binding to androgen receptors in the body, which can influence protein synthesis and help increase muscle mass, similar to how anabolic steroids work, but with potentially fewer side effects. It selectively targets muscle and bone tissues, helping to stimulate growth and strength in these areas without greatly affecting other organs.",SARM,,1,RAD-140,
3,gw-501516,,"GW-501516, also known as Cardarine, is primarily researched for its potential to enhance endurance and improve lipid profiles by increasing fat metabolism. Off-label, it is used by some athletes and bodybuilders to boost stamina and support fat loss, but these uses are not approved by health authorities.","GW-501516 works by activating the peroxisome proliferator-activated receptor delta (PPARδ). This activation promotes the burning of fatty acids for energy, thereby increasing endurance and improving energy efficiency in muscle tissue. This mechanism can also lead to improved lipid profiles by lowering triglycerides and increasing 'good' HDL cholesterol.",SARM,,1,GW-501516,
4,hcg,,"Human Chorionic Gonadotropin (hCG) is a hormone produced during pregnancy that supports fetal development. Clinically, it is used to treat fertility issues in women and to stimulate sperm production in men. Off-label, hCG is sometimes used by individuals aiming to lose weight or by athletes wishing to boost testosterone levels, though these are not approved uses.","hCG works by mimicking luteinizing hormone (LH), which prompts the body to produce more testosterone and, in women, induces ovulation by stimulating the release of mature eggs. In men, higher testosterone levels can lead to increased sperm production. For weight loss, it is believed to influence metabolism, although this effect is not scientifically proven and not approved for this purpose.",Peptide,Secreteagouges,1,HCG,
5,bpc-157,,"BPC-157 is a peptide that has been researched for its potential healing properties, particularly in promoting the healing of injuries such as tendons and ligaments. It is not approved for medical use, but some people use it off-label for muscle and joint recovery, as well as to treat stomach ulcers.","BPC-157 is thought to work by helping to accelerate the process of cell repair and tissue regeneration. It appears to influence the production of growth factors in the body, which are substances that encourage cells to grow and repair themselves. This action may contribute to its off-label uses in healing and recovery from injuries.",Peptide,,12,BPC-157,
6,bacteriostaticwater,,"Bacteriostatic water is a sterile water for injection that contains 0.9% benzyl alcohol as a bacteriostatic preservative, which helps inhibit the growth of bacteria. It is commonly used to dilute or dissolve medications for injection, including hormones like human chorionic gonadotropin (HCG) and some peptides, though these uses are not specifically approved by medical authorities.","Bacteriostatic water works by using benzyl alcohol as a preservative to prevent or slow down the growth of potentially harmful bacteria within the solution. It is designed to keep the water sterile after multiple uses, allowing for safe mixing and administration of injectable medications over time. However, it is important to follow proper medical guidelines to ensure safety when using it for any off-label purposes.",,,1,bacteriostaticwater,
7,clomiphene,,"Clomiphene is primarily used to treat infertility in women by stimulating ovulation. It is sometimes used off-label in men to help increase testosterone levels and improve sperm production, though it is not officially approved for these uses.","Clomiphene works by blocking estrogen receptors in the brain, which tricks the body into thinking that estrogen levels are lower than they are. In response, the pituitary gland releases more follicle-stimulating hormone (FSH) and luteinizing hormone (LH), stimulating the ovaries or testes and leading to ovulation or increased testosterone production and sperm count.",SERM,,1,Clomiphene,
8,tamoxifen,,"Tamoxifen is primarily used as a medication to treat and prevent breast cancer by interfering with the activity of estrogen, a hormone that can promote the growth of cancer cells. It's also sometimes used off-label to increase testosterone levels, although this is not an approved use. Additionally, athletes and bodybuilders occasionally use tamoxifen off-label to help counteract estrogenic side effects of certain anabolic steroid cycles.","Tamoxifen works by binding to estrogen receptors in breast tissue, blocking the effects of estrogen and reducing the growth and proliferation of cancer cells that rely on this hormone. It acts as a selective estrogen receptor modulator (SERM), having both estrogen-blocking effects in breast tissue and estrogen-like effects in other parts of the body, such as bones and the liver. Though not approved for this purpose, its mechanism helps explain why it may influence testosterone levels when used off-label.",SERM,,1,Tamoxifen,
9,tesofensine,,"Tesofensine is a research chemical primarily studied for its potential to aid in weight loss. It has shown to help reduce appetite, which can lead to decreased caloric intake. Tesofensine is not approved for any off-label uses, but it has gained interest in the context of obesity treatment outside of approved settings.","Tesofensine works by inhibiting the reuptake of three key neurotransmitters in the brain: dopamine, norepinephrine, and serotonin. This leads to an increase in their levels, which can help suppress appetite and support weight loss.",Nootropic,Peptide,3,Tesofensine,
10,5-amino-1mq,,"5-amino-1mq is primarily studied for its potential to inhibit NNMT enzyme activity, which may play a role in metabolic processes. While not approved for any specific medical use, some off-label applications of 5-amino-1mq include interest in weight management and metabolic enhancement, but these uses are not backed by substantial clinical evidence.","5-amino-1mq works by inhibiting the activity of the enzyme nicotinamide N-methyltransferase (NNMT). NNMT is involved in metabolic pathways that affect energy balance and adiposity, and inhibiting this enzyme is believed to modulate these processes potentially. This mechanism is the focus of ongoing research in understanding its overall effects on metabolism.",Nootropic,,1,5-Amino-1MQ,
