id,name,product_name,product_link,product_image,price,size,drug_id,test_certificate,endotoxin_report,sterility_report,cloudinary_product_image,cloudinary_test_certificate,cloudinary_endotoxin_report,cloudinary_sterility_report
1,SwissChems,"MK-677 (Ibutamoren), 600mg (10mg/capsule)",https://swisschems.is/product/mk-677-ibutamoren-380mg-10mg-60-caps/,"downloaded_images/MK-677_(Ibutamoren),_600mg_(10mg_capsule).jpg",$69.95,600mg,1,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994508/l6pbmerkovarylb2yuoh.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg
3,SwissChems,"GW-501516 (Cardarine), 600mg (10mg/capsule)",https://swisschems.is/product/gw-501516-cardarine/,"downloaded_images/GW-501516_(Cardarine),_600mg_(10mg_capsule).jpg",$69.95,600mg,3,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994510/hhwei9b4hhhpp4insxc4.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg
4,SwissChems,HCG 5000 IU,https://swisschems.is/product/hcg-5000-iu-price-is-per-vial/,downloaded_images/HCG_5000_IU.jpg,$31.96 – $254.96,5000 IU,4,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994511/ehaelreqjhrmeljbejsz.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg
5,SwissChems,"BPC-157, 30mg (0.5mg/capsule)",https://swisschems.is/product/bpc-157-30000-mcg-60capsules-0-5mg-capsule/,"downloaded_images/BPC-157,_30mg_(0.5mg_capsule).jpg",$85.95,30mg,5,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994511/po6f5vysolxvjgqtm3t4.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg
6,SwissChems,Bacteriostatic Water (BAC) 10ml,https://swisschems.is/product/bacteriostatic-water-10ml-bac/,downloaded_images/Bacteriostatic_Water_(BAC)_10ml.jpg,$9.95,10ml,6,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994512/ndgpnjlsjez9k8ug2daz.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg
7,SwissChems,"Clomiphene, 1500mg (25mg/capsule)",https://swisschems.is/product/clomid-clomifene-clomiphene-2500mg-25mg-60-caps/,"downloaded_images/Clomiphene,_1500mg_(25mg_capsule).jpg",$69.95,1500mg,7,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994513/tyn2jv57ofhwvx4nompt.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg
8,SwissChems,"Tamoxifen, 1200mg (20mg/capsule)",https://swisschems.is/product/tamoxifen-nolvadex-2000mg-20mg-60-caps/,"downloaded_images/Tamoxifen,_1200mg_(20mg_capsule).jpg",$81.95,1200mg,8,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994514/m3zksfaub5wrsykslfqq.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg
9,SwissChems,"Tesofensine, 15mg (0.25mg/capsule)",https://swisschems.is/product/tesofensine-0-25mg-1-capsule/,"downloaded_images/Tesofensine,_15mg_(0.25mg_capsule).jpg",$185.99,15mg,9,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994514/qvdfvqi1xacojzhmevv0.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg
10,SwissChems,"5-Amino-1MQ, 3000mg (50mg/capsule)",https://swisschems.is/product/5-amino-1mq-3000-mg-60-caps-50-mg-1-capsule/,"downloaded_images/5-Amino-1MQ,_3000mg_(50mg_capsule).jpg",$189.00,3000mg,10,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994515/r2tvj8omiwvaqpaza79s.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg
11,SwissChems,"YK-11, 300mg (5mg/capsule)",https://swisschems.is/product/yk-11-300-mg-5mg-60-capsules/,"downloaded_images/YK-11,_300mg_(5mg_capsule).jpg",$79.95,300mg,11,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,downloaded_images/Not Available Poster.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994516/p3h701kffwvruepiqoep.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg,https://res.cloudinary.com/dds7ub1cg/image/upload/v1737994509/vidr7s7f7fwekvufcrfl.jpg
